GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
37001,2000,Alamance County,North Carolina,130800.0,11.14,15404.0,29.86,557.0,39168.0,107200.0,23.5,72.45,18.62,6.75,0.3,0.88,0.01,0.88,0.1,,,,,0,0,0
37001,2001,Alamance County,North Carolina,130800.0,11.14,15849.0,29.86,557.0,39168.0,107200.0,23.5,72.45,18.62,6.75,0.3,0.88,0.01,0.88,0.1,1175.0,183.0,1.15,7.41,1,0,0
37001,2002,Alamance County,North Carolina,130800.0,11.14,16295.0,29.86,557.0,39168.0,107200.0,23.5,72.45,18.62,6.75,0.3,0.88,0.01,0.88,0.1,2229.0,242.0,1.49,13.68,0,0,0
37001,2003,Alamance County,North Carolina,130800.0,11.14,16740.0,29.86,557.0,39168.0,107200.0,23.5,72.45,18.62,6.75,0.3,0.88,0.01,0.88,0.1,2355.0,267.0,1.6,14.07,0,0,0
37001,2004,Alamance County,North Carolina,130800.0,11.14,17185.0,29.86,557.0,39168.0,107200.0,23.5,72.45,18.62,6.75,0.3,0.88,0.01,0.88,0.1,2620.0,165.0,0.96,15.25,0,0,0
37001,2005,Alamance County,North Carolina,144769.0,11.26,17630.0,31.13,702.0,44172.0,133700.0,28.8,68.39,17.86,10.57,0.29,1.2,0.13,1.4,0.16,2638.0,331.0,1.88,14.96,0,0,0
37001,2006,Alamance County,North Carolina,144769.0,11.26,18075.0,31.13,702.0,44172.0,133700.0,28.8,68.39,17.86,10.57,0.29,1.2,0.13,1.4,0.16,2345.0,649.0,3.59,12.97,0,0,0
37001,2007,Alamance County,North Carolina,144769.0,11.26,18520.0,31.13,702.0,44172.0,133700.0,28.8,68.39,17.86,10.57,0.29,1.2,0.13,1.4,0.16,2477.0,1111.0,6.0,13.37,0,0,0
37001,2008,Alamance County,North Carolina,144769.0,11.26,18966.0,31.13,702.0,44172.0,133700.0,28.8,68.39,17.86,10.57,0.29,1.2,0.13,1.4,0.16,2580.0,1454.0,7.67,13.6,0,0,0
37001,2009,Alamance County,North Carolina,144769.0,11.26,19411.0,31.13,702.0,44172.0,133700.0,28.8,68.39,17.86,10.57,0.29,1.2,0.13,1.4,0.16,2414.0,1334.0,6.87,12.44,0,0,0
37001,2010,Alamance County,North Carolina,151131.0,12.26,19856.0,33.12,724.0,44155.0,136500.0,30.5,67.3,18.52,11.01,0.36,1.19,0.04,1.44,0.14,2405.0,1278.0,6.44,12.11,0,0,0
37001,2011,Alamance County,North Carolina,155258.0,14.35,20260.0,34.56,745.0,41814.0,138100.0,31.5,65.92,18.21,11.87,0.23,1.48,0.05,2.12,0.11,2437.0,1116.0,5.51,12.03,0,0,0
37001,2012,Alamance County,North Carolina,155258.0,14.35,20663.0,34.56,745.0,41814.0,138100.0,31.5,65.92,18.21,11.87,0.23,1.48,0.05,2.12,0.11,2492.0,1051.0,5.09,12.06,0,0,0
37001,2013,Alamance County,North Carolina,155258.0,14.35,21067.0,34.56,745.0,41814.0,138100.0,31.5,65.92,18.21,11.87,0.23,1.48,0.05,2.12,0.11,2477.0,1066.0,5.06,11.76,0,0,0
37001,2014,Alamance County,North Carolina,155258.0,14.35,21470.0,34.56,745.0,41814.0,138100.0,31.5,65.92,18.21,11.87,0.23,1.48,0.05,2.12,0.11,2575.0,1363.0,6.35,11.99,0,0,0
37001,2015,Alamance County,North Carolina,155258.0,14.35,21874.0,34.56,745.0,41814.0,138100.0,31.5,65.92,18.21,11.87,0.23,1.48,0.05,2.12,0.11,2485.0,1342.0,6.14,11.36,0,0,0
37001,2016,Alamance County,North Carolina,155258.0,14.35,22277.0,34.56,745.0,41814.0,138100.0,31.5,65.92,18.21,11.87,0.23,1.48,0.05,2.12,0.11,2469.0,1446.0,6.49,11.08,0,0,0
37003,2000,Alexander County,North Carolina,33603.0,8.48,2568.0,19.53,439.0,38684.0,95600.0,20.7,90.95,4.57,2.5,0.12,1.03,0.0,0.75,0.08,,,,,0,0,0
37003,2001,Alexander County,North Carolina,33603.0,8.48,2635.0,19.53,439.0,38684.0,95600.0,20.7,90.95,4.57,2.5,0.12,1.03,0.0,0.75,0.08,,,,,0,0,0
37003,2002,Alexander County,North Carolina,33603.0,8.48,2702.0,19.53,439.0,38684.0,95600.0,20.7,90.95,4.57,2.5,0.12,1.03,0.0,0.75,0.08,140.0,1.0,0.04,5.18,0,0,0
37003,2003,Alexander County,North Carolina,33603.0,8.48,2769.0,19.53,439.0,38684.0,95600.0,20.7,90.95,4.57,2.5,0.12,1.03,0.0,0.75,0.08,150.0,1.0,0.04,5.42,0,0,0
37003,2004,Alexander County,North Carolina,33603.0,8.48,2835.0,19.53,439.0,38684.0,95600.0,20.7,90.95,4.57,2.5,0.12,1.03,0.0,0.75,0.08,154.0,5.0,0.18,5.43,0,0,0
37003,2005,Alexander County,North Carolina,36278.0,11.0,2902.0,18.76,580.0,41520.0,116400.0,28.5,88.31,5.62,3.35,0.4,1.14,0.36,0.77,0.04,196.0,66.0,2.27,6.75,0,0,0
37003,2006,Alexander County,North Carolina,36278.0,11.0,2969.0,18.76,580.0,41520.0,116400.0,28.5,88.31,5.62,3.35,0.4,1.14,0.36,0.77,0.04,188.0,121.0,4.08,6.33,0,0,0
37003,2007,Alexander County,North Carolina,36278.0,11.0,3036.0,18.76,580.0,41520.0,116400.0,28.5,88.31,5.62,3.35,0.4,1.14,0.36,0.77,0.04,222.0,108.0,3.56,7.31,0,0,0
37003,2008,Alexander County,North Carolina,36278.0,11.0,3103.0,18.76,580.0,41520.0,116400.0,28.5,88.31,5.62,3.35,0.4,1.14,0.36,0.77,0.04,183.0,56.0,1.8,5.9,0,0,0
37003,2009,Alexander County,North Carolina,36278.0,11.0,3170.0,18.76,580.0,41520.0,116400.0,28.5,88.31,5.62,3.35,0.4,1.14,0.36,0.77,0.04,177.0,93.0,2.93,5.58,0,0,0
37003,2010,Alexander County,North Carolina,37198.0,13.04,3237.0,22.44,577.0,39544.0,122200.0,29.0,87.83,5.44,4.3,0.23,0.96,0.03,1.15,0.06,165.0,98.0,3.03,5.1,0,0,0
37003,2011,Alexander County,North Carolina,37158.0,12.55,3314.0,24.48,584.0,39365.0,124600.0,30.3,87.54,5.57,4.38,0.06,1.01,0.05,1.38,0.0,165.0,91.0,2.75,4.98,0,0,0
37003,2012,Alexander County,North Carolina,37158.0,12.55,3391.0,24.48,584.0,39365.0,124600.0,30.3,87.54,5.57,4.38,0.06,1.01,0.05,1.38,0.0,154.0,90.0,2.65,4.54,0,0,0
37003,2013,Alexander County,North Carolina,37158.0,12.55,3468.0,24.48,584.0,39365.0,124600.0,30.3,87.54,5.57,4.38,0.06,1.01,0.05,1.38,0.0,160.0,83.0,2.39,4.61,0,0,0
37003,2014,Alexander County,North Carolina,37158.0,12.55,3545.0,24.48,584.0,39365.0,124600.0,30.3,87.54,5.57,4.38,0.06,1.01,0.05,1.38,0.0,176.0,101.0,2.85,4.96,0,0,0
37003,2015,Alexander County,North Carolina,37158.0,12.55,3622.0,24.48,584.0,39365.0,124600.0,30.3,87.54,5.57,4.38,0.06,1.01,0.05,1.38,0.0,171.0,119.0,3.29,4.72,0,0,0
37003,2016,Alexander County,North Carolina,37158.0,12.55,3699.0,24.48,584.0,39365.0,124600.0,30.3,87.54,5.57,4.38,0.06,1.01,0.05,1.38,0.0,179.0,135.0,3.65,4.84,0,0,0
37005,2000,Alleghany County,North Carolina,10677.0,17.15,971.0,21.1,363.0,29244.0,89700.0,23.2,93.02,1.11,4.96,0.16,0.2,0.0,0.53,0.02,,,,,0,0,0
37005,2001,Alleghany County,North Carolina,10677.0,17.15,994.0,21.1,363.0,29244.0,89700.0,23.2,93.02,1.11,4.96,0.16,0.2,0.0,0.53,0.02,5.0,0.0,0.0,0.5,0,0,0
37005,2002,Alleghany County,North Carolina,10677.0,17.15,1017.0,21.1,363.0,29244.0,89700.0,23.2,93.02,1.11,4.96,0.16,0.2,0.0,0.53,0.02,19.0,0.0,0.0,1.87,0,0,0
37005,2003,Alleghany County,North Carolina,10677.0,17.15,1040.0,21.1,363.0,29244.0,89700.0,23.2,93.02,1.11,4.96,0.16,0.2,0.0,0.53,0.02,9.0,0.0,0.0,0.87,0,0,0
37005,2004,Alleghany County,North Carolina,10677.0,17.15,1063.0,21.1,363.0,29244.0,89700.0,23.2,93.02,1.11,4.96,0.16,0.2,0.0,0.53,0.02,1.0,0.0,0.0,0.09,0,0,0
37005,2005,Alleghany County,North Carolina,10905.0,16.13,1086.0,24.7,508.0,32541.0,131400.0,31.0,82.14,0.71,14.89,0.0,0.26,0.0,2.01,0.0,9.0,2.0,0.18,0.83,0,0,0
37005,2006,Alleghany County,North Carolina,10905.0,16.13,1109.0,24.7,508.0,32541.0,131400.0,31.0,82.14,0.71,14.89,0.0,0.26,0.0,2.01,0.0,24.0,10.0,0.9,2.16,0,0,0
37005,2007,Alleghany County,North Carolina,10905.0,16.13,1133.0,24.7,508.0,32541.0,131400.0,31.0,82.14,0.71,14.89,0.0,0.26,0.0,2.01,0.0,31.0,9.0,0.79,2.74,0,0,0
37005,2008,Alleghany County,North Carolina,10905.0,16.13,1156.0,24.7,508.0,32541.0,131400.0,31.0,82.14,0.71,14.89,0.0,0.26,0.0,2.01,0.0,22.0,8.0,0.69,1.9,0,0,0
37005,2009,Alleghany County,North Carolina,10905.0,16.13,1179.0,24.7,508.0,32541.0,131400.0,31.0,82.14,0.71,14.89,0.0,0.26,0.0,2.01,0.0,21.0,13.0,1.1,1.78,0,0,0
37005,2010,Alleghany County,North Carolina,11155.0,16.84,1202.0,25.16,538.0,32449.0,150000.0,36.6,88.41,1.19,9.0,0.16,0.48,0.02,0.74,0.01,20.0,16.0,1.33,1.66,0,0,0
37005,2011,Alleghany County,North Carolina,10911.0,12.39,1220.0,23.65,623.0,36968.0,146600.0,31.1,87.26,2.17,9.32,0.1,0.2,0.0,0.76,0.18,23.0,17.0,1.39,1.88,0,0,0
37005,2012,Alleghany County,North Carolina,10911.0,12.39,1239.0,23.65,623.0,36968.0,146600.0,31.1,87.26,2.17,9.32,0.1,0.2,0.0,0.76,0.18,12.0,9.0,0.73,0.97,0,0,0
37005,2013,Alleghany County,North Carolina,10911.0,12.39,1257.0,23.65,623.0,36968.0,146600.0,31.1,87.26,2.17,9.32,0.1,0.2,0.0,0.76,0.18,16.0,5.0,0.4,1.27,0,0,0
37005,2014,Alleghany County,North Carolina,10911.0,12.39,1275.0,23.65,623.0,36968.0,146600.0,31.1,87.26,2.17,9.32,0.1,0.2,0.0,0.76,0.18,19.0,14.0,1.1,1.49,0,0,0
37005,2015,Alleghany County,North Carolina,10911.0,12.39,1294.0,23.65,623.0,36968.0,146600.0,31.1,87.26,2.17,9.32,0.1,0.2,0.0,0.76,0.18,27.0,23.0,1.78,2.09,0,0,0
37005,2016,Alleghany County,North Carolina,10911.0,12.39,1312.0,23.65,623.0,36968.0,146600.0,31.1,87.26,2.17,9.32,0.1,0.2,0.0,0.76,0.18,42.0,31.0,2.36,3.2,0,0,0
37007,2000,Anson County,North Carolina,25275.0,17.77,2214.0,24.05,404.0,29849.0,64300.0,25.3,49.18,48.45,0.83,0.44,0.57,0.02,0.45,0.07,,,,,0,0,0
37007,2001,Anson County,North Carolina,25275.0,17.77,2298.0,24.05,404.0,29849.0,64300.0,25.3,49.18,48.45,0.83,0.44,0.57,0.02,0.45,0.07,76.0,9.0,0.39,3.31,1,0,0
37007,2002,Anson County,North Carolina,25275.0,17.77,2381.0,24.05,404.0,29849.0,64300.0,25.3,49.18,48.45,0.83,0.44,0.57,0.02,0.45,0.07,207.0,66.0,2.77,8.69,0,0,0
37007,2003,Anson County,North Carolina,25275.0,17.77,2465.0,24.05,404.0,29849.0,64300.0,25.3,49.18,48.45,0.83,0.44,0.57,0.02,0.45,0.07,237.0,73.0,2.96,9.61,0,0,0
37007,2004,Anson County,North Carolina,25275.0,17.77,2549.0,24.05,404.0,29849.0,64300.0,25.3,49.18,48.45,0.83,0.44,0.57,0.02,0.45,0.07,188.0,31.0,1.22,7.38,0,0,0
37007,2005,Anson County,North Carolina,25243.0,17.25,2633.0,30.26,585.0,33706.0,80000.0,31.5,48.5,47.86,1.42,0.64,0.97,0.0,0.61,0.0,140.0,47.0,1.79,5.32,0,0,0
37007,2006,Anson County,North Carolina,25243.0,17.25,2716.0,30.26,585.0,33706.0,80000.0,31.5,48.5,47.86,1.42,0.64,0.97,0.0,0.61,0.0,164.0,85.0,3.13,6.04,0,0,0
37007,2007,Anson County,North Carolina,25243.0,17.25,2800.0,30.26,585.0,33706.0,80000.0,31.5,48.5,47.86,1.42,0.64,0.97,0.0,0.61,0.0,196.0,61.0,2.18,7.0,0,0,0
37007,2008,Anson County,North Carolina,25243.0,17.25,2884.0,30.26,585.0,33706.0,80000.0,31.5,48.5,47.86,1.42,0.64,0.97,0.0,0.61,0.0,164.0,6.0,0.21,5.69,0,0,0
37007,2009,Anson County,North Carolina,25243.0,17.25,2967.0,30.26,585.0,33706.0,80000.0,31.5,48.5,47.86,1.42,0.64,0.97,0.0,0.61,0.0,187.0,83.0,2.8,6.3,0,0,0
37007,2010,Anson County,North Carolina,26948.0,16.39,3051.0,31.28,638.0,34772.0,80600.0,32.2,45.81,48.38,3.01,0.55,1.04,0.01,1.09,0.1,193.0,93.0,3.05,6.33,0,0,0
37007,2011,Anson County,North Carolina,26135.0,17.68,3093.0,34.02,661.0,33228.0,76900.0,31.0,45.39,48.77,3.41,0.34,1.17,0.0,0.88,0.04,187.0,101.0,3.27,6.05,0,0,0
37007,2012,Anson County,North Carolina,26135.0,17.68,3136.0,34.02,661.0,33228.0,76900.0,31.0,45.39,48.77,3.41,0.34,1.17,0.0,0.88,0.04,165.0,78.0,2.49,5.26,0,0,0
37007,2013,Anson County,North Carolina,26135.0,17.68,3178.0,34.02,661.0,33228.0,76900.0,31.0,45.39,48.77,3.41,0.34,1.17,0.0,0.88,0.04,201.0,96.0,3.02,6.32,0,0,0
37007,2014,Anson County,North Carolina,26135.0,17.68,3220.0,34.02,661.0,33228.0,76900.0,31.0,45.39,48.77,3.41,0.34,1.17,0.0,0.88,0.04,222.0,138.0,4.29,6.89,0,0,0
37007,2015,Anson County,North Carolina,26135.0,17.68,3263.0,34.02,661.0,33228.0,76900.0,31.0,45.39,48.77,3.41,0.34,1.17,0.0,0.88,0.04,217.0,133.0,4.08,6.65,0,0,0
37007,2016,Anson County,North Carolina,26135.0,17.68,3305.0,34.02,661.0,33228.0,76900.0,31.0,45.39,48.77,3.41,0.34,1.17,0.0,0.88,0.04,207.0,113.0,3.42,6.26,0,0,0
37009,2000,Ashe County,North Carolina,24384.0,13.45,1982.0,19.05,375.0,28824.0,91600.0,23.8,96.13,0.64,2.42,0.16,0.23,0.0,0.4,0.02,,,,,0,0,0
37009,2001,Ashe County,North Carolina,24384.0,13.45,2044.0,19.05,375.0,28824.0,91600.0,23.8,96.13,0.64,2.42,0.16,0.23,0.0,0.4,0.02,22.0,0.0,0.0,1.08,0,0,0
37009,2002,Ashe County,North Carolina,24384.0,13.45,2106.0,19.05,375.0,28824.0,91600.0,23.8,96.13,0.64,2.42,0.16,0.23,0.0,0.4,0.02,46.0,0.0,0.0,2.18,0,0,0
37009,2003,Ashe County,North Carolina,24384.0,13.45,2168.0,19.05,375.0,28824.0,91600.0,23.8,96.13,0.64,2.42,0.16,0.23,0.0,0.4,0.02,75.0,21.0,0.97,3.46,0,0,0
37009,2004,Ashe County,North Carolina,24384.0,13.45,2230.0,19.05,375.0,28824.0,91600.0,23.8,96.13,0.64,2.42,0.16,0.23,0.0,0.4,0.02,54.0,21.0,0.94,2.42,0,1,0
37009,2005,Ashe County,North Carolina,25467.0,11.71,2292.0,21.17,531.0,35312.0,138600.0,28.8,94.65,0.45,3.53,0.65,0.46,0.0,0.26,0.0,31.0,14.0,0.61,1.35,0,0,0
